"RACE","NAME","TIME"
"4","Kathryn Hores","50:26"
"4","Todd Copalek","50:46"
"4","Keith Heron","51:11"
"4","Rachel Parsons","51:15"
"4","Charles Leonard","51:21"
"4","John Vasilopoulos","51:34"
"4","Dale Fox","51:39"
"4","Dennis Uhlig","51:39"
"4","Kevin Tripp","51:40"
"4","Alan Hess","51:49"
"4","Michael Stone","51:53"
"4","Jonathan Barton","51:58"
"4","Linda Harding","52:02"
"4","Christopher Kamp","52:07"
"4","David Losee","52:11"
"4","Kellie Tompkins","52:12"
"4","Teri Olcott","52:19"
"4","Kristin White","53:24"
"4","Nancy Werthmuller","53:36"
"4","Mike Vachon","53:48"
"4","Zizwe Grandison","54:01"
"4","Kerri Bullock","54:07"
"4","Eben Bullock","54:08"
"4","Samantha Riley","54:13"
"4","Scott Schafer","54:15"
"4","Steve Paufve","54:39"
"4","Jonathan Lederman","55:04"
"4","Chelsea Morse","55:09"
"4","Frank Tarricone","55:13"
"4","Joshua Demarree","55:19"
"4","Jay Fiedorowitz","55:24"
"4","Randy Templeman","55:26"
"4","Jessica Hamby","55:30"
"4","Chris Vandruff","55:31"
"4","Dan Bartschi","55:33"
"4","Kimberly Mastrantonio","55:54"
"4","Jason Palmer","55:55"
"4","Diana Bean","55:56"
"4","Bob Beavan","55:57"
"4","Sue Hartmann","56:12"
"4","Robert Hartmann","56:13"
"4","Steven Ferrante","56:26"
"4","Glenn Whittington","56:31"
"4","Ed DeSantis","56:37"
"4","Michael Andersen","56:38"
"4","Ray Brooks","56:42"
"4","David Klotzkin","56:42"
"4","Malinda Miller","56:44"
"4","Susan McHale","56:44"
"4","Teal Yajko","57:01"
"4","Dan Dofton","57:09"
"4","Sara Tarricone","57:11"
"4","Vincent Colombo","57:29"
"4","Sue Darpino","57:29"
"4","Patrice Back","57:32"
"4","Paul Darskey","57:41"
"4","Megan White","58:18"
"4","Meghan Mitrus","59:18"
"4","Sarah Dobler","59:35"
"4","Carolyn Hall","1:00:40"
"4","Kelly Hoyt","1:00:42"
"4","Michele Stokstad","1:01:09"
"4","Jessica Clement","1:01:31"
"4","Julie Drozdowski","1:01:45"
"4","Carolyn Hamlin","1:01:58"
"4","Kelley Hamlin","1:02:10"
"4","Amy Mercik","1:02:11"
"4","Tara Feathers","1:03:08"
"4","Susan Medina","1:03:43"
"4","Jessica Himmelberger","1:04:00"
"4","Julie Leonard","1:04:11"
"4","Tiffany Brady","1:04:12"
"4","Liz Terwilliger","1:04:23"
"4","Kathryn White","1:05:18"
"4","Anthony Mazza","1:05:31"
"4","Linda Emerson","1:05:35"
"4","Kathy Purtell","1:06:00"
"4","Daniel Flanders","1:06:16"
"4","Richard Docalavich","1:06:56"
"4","Robert Gordon","1:07:49"
"4","Richard Walburger","1:08:08"
"4","Rebecca Dupree","1:09:27"
"4","Dan Dupree","1:09:27"
"4","Mary Frisbe","1:09:42"
"4","Caroline Quidort","1:10:16"
"4","Nicki Conroy","1:12:34"
"4","Stephen Spero","1:14:48"
"4","Lisa Chiarella","1:15:01"
"4","Anthony Lotempio","1:16:31"
"4","Tonie Liddie","1:16:42"
"4","Anatasia Cochardo","1:16:45"
"4","Abram Parsons","1:22:24"
"4","Helen DeVita","1:24:01"
"4","Tom Hamlin","1:26:10"
"4","John Thompson","1:44:18"
